Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link,Title_Clean,Like_Rate,Comment_Rate,Engagement_Score
Aakhri Sawal Teaser | Yeh Sirf Shuruaat Hai | Sanjay Dutt | Namashi | Amit Sadh | Sameera Reddy,Nikhil Nanda Motion Pictures ,1175419,45127,2925,1,2100,5,https://www.youtube.com/watch?v=xgR3eFTxLKY,Aakhri Sawal Teaser Yeh Sirf Shuruaat Hai Sanjay Dutt Namashi Amit Sadh Sameera Reddy,3.8392266927793406,0.2488474322773411,4.336921557334023
Dig Tunnel to Escape School! 😱,Tyro Gaming,268260,3203,276,0,182,13,https://www.youtube.com/watch?v=CQ1KZqSA6Go,Dig Tunnel to Escape School!,1.1939909043465293,0.10288526056810557,1.3997614254827404
Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,Dil Hits Haryanvi,234504,869,13,15,3003,1,https://www.youtube.com/watch?v=5iykaIgRFE8,Nas Nas Kyu Dukhe पय मर नस नस क ह दख Anjali Raghav Karan Chaudhary !! Brajbhasha Song,0.37056937195101153,0.005543615460717088,0.3816566028724457
"Love Insurance Kompany (Telugu) Teaser | Pradeep Ranganathan, Anirudh, Vignesh Shivan, Krithi Shetty",Sony Music South,1378407,51929,1114,0,1994,5,https://www.youtube.com/watch?v=kb5AJIaZo-E,"Love Insurance Kompany Telugu Teaser Pradeep Ranganathan, Anirudh, Vignesh Shivan, Krithi Shetty",3.7673198119278264,0.08081792968259738,3.9289556712930214
"Rs1 vs Rs 1,00,000 ILLEGAL ITEMS MINING CHALLENGE IN MINECRAFT..",Junkeyy,253518,7942,646,3,243,14,https://www.youtube.com/watch?v=f56bWVDHniY,"Rs1 vs Rs 1,00,000 ILLEGAL ITEMS MINING CHALLENGE IN MINECRAFT..",3.132716414613558,0.25481425382024153,3.642344922254041
@SaiAbhyankkar  - Pavazha Malli (Unplugged) | Shruti Haasan | Vivek | Think Indie,Think Music India,1544937,73222,1228,5,1154,11,https://www.youtube.com/watch?v=ZpZZvIOcdwE,- Pavazha Malli Unplugged Shruti Haasan Vivek Think Indie,4.739481286291933,0.07948544180118672,4.898452169894306
Kathanar | Trailer Reaction | Jayasurya | Rojin Thomas | Gokulam Gopalan,LifeofShazzam,248100,13211,772,0,48,6,https://www.youtube.com/watch?v=Wh1jECxzTeI,Kathanar Trailer Reaction Jayasurya Rojin Thomas Gokulam Gopalan,5.324869004433696,0.31116485288190243,5.947198710197501
🌿FREE FIRE LIVE🌿PLAYING BR-RANKED😎2X AWM SPEED GAME PLAY 🎮🎯 ON LIVE - GARENA FREE FIRE,DAD I AM OK GAMING,329730,4940,1,3,128,21,https://www.youtube.com/watch?v=qRpb4SPEm2Q,FREE FIRE LIVEPLAYING BR-RANKED2X AWM SPEED GAME PLAY ON LIVE - GARENA FREE FIRE,1.4981954932823827,0.000303278439935705,1.498802050162254
#Video - कुलींग करे वाला चोली - #Ashish Yadav का इस साल का पहला चईत सांग - #Magahi Chaita Song 2026,Aashish Yadav Entertainment,314337,21358,1382,0,1190,1,https://www.youtube.com/watch?v=kAVYaC-L2t0,#Video - कलग कर वल चल - #Ashish Yadav क इस सल क पहल चईत सग - #Magahi Chaita Song 2026,6.794618514524221,0.43965552893868687,7.673929572401595
RAMA | Namit Malhotra’s RAMAYANA | Nitesh Tiwari | Ranbir | Hans Zimmer & A.R. Rahman | REACTION!,G.O.T Games,75463,4188,331,36,3633,8,https://www.youtube.com/watch?v=hiGiVaFx2xs,RAMA Namit Malhotras RAMAYANA Nitesh Tiwari Ranbir Hans Zimmer A.R. Rahman REACTION!,5.549739607489763,0.4386255515948213,6.426990710679406
